_id,name,Price ,Sold,description,link
1,Maquina de Secar/Lavar,1600,TRUE,"A Lava e Seca Samsung 8,5 kg, Automática - WD856UHSAWQ conta com tecnologia revolucionária EcoBubble que dissolve o sabão com ar e água antes do início do ciclo, gerando bolhas de limpeza que penetram no tecido de forma mais rápida do que o sabão concentrado, você lava as roupas em água fria com a mesma eficiência da água quente. Além disso, o novo tambor Diamond Drum oferece um desempenho de lavagem poderoso, mas suave. O tambor com relevo de diamantes move as roupas suavemente pelo tambor exclusivamente projetado, enquanto orifícios menores para a água evitam que os tecidos fiquem presos e sejam danificados. Tenha uma limpeza profunda para os tecidos mais delicados com o tambor aprimorado em forma de diamante.",consulta preço - Submarino 
2,Fogão,1100,,"O fogão 4 bocas Electrolux Celebrate 56DTB é bivolt, de piso, tem duplo forno, queimador tripla chama, grill elétrico, botão abre fácil, timer e sistema Bloqueia Gás.",Consulta preço - Fogao - Submarino 
3,Geladeira,1000,TRUE,"O Refrigerador Brastemp BRM48NB tem painel externo, que permite o acesso a funções pré-programadas, como a Smart Ice que resfria bebidas e a Smart Bar, que controla a fabricação de gelo. O gavetão vem com três divisões que comportam alimentos grandes, além de possuir compartimentos removíveis.",http://www.buscape.com.br/refrigerador-brastemp-ative-brm48nb-403-litros-branco
4,Colchão,576,TRUE,Monte Serra Poket P.in O.S BCO 158X198X26 (Queen),
5,Cama,824,TRUE,Cama box Queen,
6,Kit 2 Banquetas Recife Vermelha,550,,"Garantia de beleza e funcionalidade, as banquetas são ideiais para fazer parte da bancada na cozinha e em espaços reservados para o bar. Elas se adequam aos diferentes espaços, independente do tamanho ou estilo. Ideal para deixar seu ambiente elegante.",https://www.casawolker.com.br/KIT-2-BANQUETAS-RECIFE-BASE-ESTRELA-RIVATTI
7,Cadeira escritorio,370,TRUE,,
8,Ventilador Arno,95,,"Só o ventilador Alívio oferece 25% mais força no vento, alta eficiência com 4 pás e novas grades. Possui três 3 velocidades, porta-fio, oscilação horizontal e inclinação vertical. Ainda conta com acionamento através de botão giratório e grades removíveis, que facilitam a limpeza. Deixe seu ambiente muito mais fresco! MOD:TS40 SERIE 23/15",https://www.walmart.com.br/item/2100710/sk?utm_source=google-pla&adtype=pla&utm_medium=ppc&utm_term=2100710&utm_campaign=eletroportateis+2100710
9,Micro System Hi-Fi Philips,300,,"O Micro System Philips DCM276/78 é equipado com duas caixas acústicas com 5W de potência cada, totalizando 10W de potência de áudio, ideais para a reprodução de músicas a partir de iPods com mais fidelidade e nitidez.",http://www.fastshop.com.br/webapp/wcs/stores/servlet/SearchDisplay?manufacturer=Philips&catalogId=11052&langId=-6&storeId=10151&sType=SimpleSearch&partner=parceiro-google&cm_mmc=cpc_Google-_-Pesquisa_BRAND_Eletronicos-_-Philips_Ampla-_-nd&gclid=Cj0KEQjwgJq-BRCFqcLW8_DU9agBEiQAz8Koh-qs4lzOpHngJxFGM7ARlrf2WDsqNdzGxQzzuMHwhd4aAoUR8P8HAQ
10,Chaleira Arno ,40,TRUE,,"http://tecnocracia.com.br/shopping/p/115913/chaleira_arno_collection_kacc_1.500w_1,7_litros_branca_e_rubi"
11,Microondas Brastemp ,320,TRUE,BMT45BRHNA - Inox 30l  ,http://www.brastemp.com.br/produto/micro-ondas-brastemp-ative-grill-30-litros/
12,Mixer Oster ,80,TRUE,MOD:2619-017,http://www.clubeletro.com.br/mixer-oster-3-em-1-processador-e-faca-eletrica-2619-p163/
13,Multiprocessador PHILCO,115,,"Multiprocessador de Alimentos Philco Multipro All In One 2 Preto 475W
O Multiprocessador de Alimentos é 3 em 1: Processador, espremedor e liquidificador. Espremedor de frutas para preparar deliciosos sucos e liquidificador para vitaminas, coquetéis, sopas, molhos, cremes e muito mais. Tem design vertical, com acessórios que executam múltiplas funções e podem ser guardados dentro da jarra (menos o espremedor). Deixe sua cozinha bem equipada com este Multiprocessador de Alimentos da Philco
",http://www.americanas.com.br/produto/7421526/multiprocessador-de-alimentos-philco-multipro-all-in-one-2-preto-475w?epar=bp_nb_00_go_googlegrupoka977&WT.srch=1&opn=YZMEZP
